trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.39316876629108,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.75842223719218,"{0: 11, 1: 4, 2: 8, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-184.085646786854,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-177.9548164917577,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-72.12334366163981,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-153.2149796188737,"{0: 18, 1: 7, 2: 2, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.75424383723365,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-179.3386959680923,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.8960141869621,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-91.29472402288206,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,13,-14.995159256595567,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-43.295007510214425,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.67540559597973,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-70.12685225346091,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,3,-20.08491121326066,"{0: 15, 1: 5, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.39740447433795,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-54.54831919572919,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,6,-63.19909939602832,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.2725012017944,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.24479465307434,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-131.8055756572964,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
